ER60001;ER60002;ER60017;ER60018;ER60019;ER60020;ER60025;ER62366;ER62449;ER62484;ER62486;ER62488;ER62491;ER62499;ER62502;ER62505;ER63482;ER63565;ER63600;ER63602;ER63604;ER63607;ER63615;ER63618;ER63621;ER64674;ER64676;ER64730;ER64813;ER64815;ER64869;ER65019;ER65067;ER65216;ER65244;ER66001;ER66002;ER66017;ER66018;ER66019;ER66020;ER66025;ER68420;ER68512;ER68549;ER68551;ER68553;ER68556;ER68564;ER68567;ER68570;ER69547;ER69639;ER69676;ER69678;ER69680;ER69683;ER69691;ER69694;ER69697;ER70747;ER70749;ER70803;ER70885;ER70887;ER70941;ER71111;ER71159;ER71293;ER71321;ER72001;ER72002;ER72017;ER72018;ER72019;ER72020;ER72025;ER74428;ER74520;ER74557;ER74559;ER74561;ER74564;ER74572;ER74575;ER74578;ER75555;ER75647;ER75684;ER75686;ER75688;ER75691;ER75699;ER75702;ER75705;ER76755;ER76757;ER76815;ER76900;ER76902;ER76960;ER77133;ER77181;ER77315;ER77343;Blanks
1;8474;57;2;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;0;0;0;0;2;5620;59;2;0;0;2;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;0;0;0;0;1;4574;61;2;0;0;2;4;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;0;0;0;0
1;1428;41;2;0;0;1;3;240;3;3;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;0;0;0;0;2;6510;43;2;0;0;3;4;30;0;7;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;0;0;1000;0;1;6314;45;2;0;0;2;3;7;7;7;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;0;0;0;0
1;4738;39;1;0;0;3;2;0;4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;30;0;32000;0;2;9172;42;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;25;0;54000;0;1;7898;43;1;0;0;2;2;0;0;6;0;25;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14;30;0;10000;0;0
1;3252;33;1;30;2;2;1;0;0;7;3;15;0;0;0;1;0;7;7;0;0;0;0;0;0;9;0;0;3;0;55;40;52633;26000;2;4293;35;1;32;2;1;1;0;3;7;0;20;0;0;0;3;0;2;7;0;20;0;0;0;0;9;0;0;3;0;50;40;50000;28000;1;4681;37;1;34;2;2;2;0;3;7;0;20;0;0;0;3;0;2;2;0;10;0;0;0;0;9;1;0;3;1;40;40;35000;35000;0
1;1616;52;1;50;2;2;3;0;2;7;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;1;8;0;9;8;40;0;32928;0;2;8276;55;1;52;2;1;3;0;3;3;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;1;8;0;9;8;40;0;32000;0;1;9326;57;1;54;2;1;2;0;2;7;0;0;0;0;0;4;0;0;1;0;10;0;0;0;0;1;15;0;9;15;40;0;43000;0;0
1;8520;48;1;43;2;2;5;11;0;0;0;30;0;0;0;2;0;0;0;0;20;0;0;0;0;3;1;0;9;8;40;29;3500;11000;2;3859;50;1;44;2;1;4;6;0;0;0;20;0;0;0;3;0;0;0;0;20;0;0;0;0;3;1;0;9;8;0;40;0;18720;1;5234;52;1;46;2;2;1;7;7;7;0;10;0;0;0;4;0;7;7;0;8;0;0;0;0;3;6;0;9;6;0;40;0;15000;0
1;7098;20;1;0;0;3;3;0;2;4;2;7;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;0;0;5500;0;2;4162;22;1;18;2;3;3;0;2;2;1;10;5;0;0;3;0;3;5;2;0;0;0;0;0;3;0;0;9;8;50;0;9000;0;1;6282;24;1;20;2;3;3;0;40;8;0;5;20;0;0;3;0;8;5;0;0;3;0;0;0;3;1;0;9;6;40;0;15000;0;0
1;587;59;1;49;2;2;2;0;0;3;0;30;1;0;0;4;0;2;2;0;0;0;0;0;0;3;8;0;9;8;60;0;32500;0;2;3894;61;1;51;2;2;2;0;2;2;0;0;0;0;0;4;3;2;7;0;0;0;0;0;0;3;8;0;9;8;50;0;38000;0;1;5026;63;1;53;2;1;1;0;1;1;0;0;0;0;0;5;30;0;2;0;0;0;0;0;0;3;6;0;9;6;64;0;42900;0;0
1;2571;37;1;30;2;3;3;0;4;4;2;0;1;0;0;3;0;2;4;2;0;2;0;0;0;3;8;0;9;8;52;40;50000;30000;2;4308;39;1;32;2;1;3;0;3;3;3;0;1;0;0;2;0;2;2;0;5;1;0;0;0;3;8;0;9;8;50;35;65242;29000;1;9491;42;1;35;2;2;2;0;7;7;7;0;2;0;0;2;0;2;3;1;0;2;0;0;0;3;15;0;9;15;50;35;50000;30000;0
1;3220;60;1;59;2;1;2;0;30;60;0;0;2;0;0;2;0;5;5;0;0;2;0;0;0;3;8;0;3;8;60;15;220000;15000;2;4043;62;1;61;2;1;1;0;4;6;2;0;2;0;0;1;0;2;2;0;0;2;0;0;0;3;8;0;3;8;65;20;220000;30000;1;6444;64;1;63;2;1;2;0;3;3;2;0;2;0;0;1;0;3;3;0;0;3;0;0;0;3;9;0;3;9;75;20;200000;35000;0
